timestamp,time,temperature,target_temp,kp,ki,kd,control_period,max_duty,pid_output,error,integral_error,derivative_error,heat_input,heat_loss
1759155912571,2025-09-29 22:25:12.571,23.92,30.0,1.0,0.08,0.05,100,100,12.64,4.64,100.0,0.11,0.19,0.067
1759155917571,2025-09-29 22:25:17.571,24.17,30.0,1.0,0.08,0.05,100,100,14.1,6.08,100.0,0.29,0.211,0.038
1759155922571,2025-09-29 22:25:22.571,21.91,30.0,1.0,0.08,0.05,100,100,13.83,5.83,100.0,-0.05,0.207,0.043
1759155927571,2025-09-29 22:25:27.571,22.95,30.0,1.0,0.08,0.05,100,100,16.11,8.09,100.0,0.45,0.242,-0.002
1759155932571,2025-09-29 22:25:32.571,21.16,30.0,1.0,0.08,0.05,100,100,15.04,7.05,100.0,-0.21,0.226,0.019
1759155937571,2025-09-29 22:25:37.571,20.91,30.0,1.0,0.08,0.05,100,100,16.86,8.84,100.0,0.36,0.253,-0.017
1759155942571,2025-09-29 22:25:42.571,18.17,30.0,1.0,0.08,0.05,100,100,17.09,9.09,100.0,0.05,0.256,-0.022
1759155947571,2025-09-29 22:25:47.571,20.85,30.0,1.0,0.08,0.05,100,100,19.86,11.83,100.0,0.55,0.298,-0.077
1759155952571,2025-09-29 22:25:52.571,22.53,30.0,1.0,0.08,0.05,100,100,17.12,9.15,100.0,-0.54,0.257,-0.023
1759155957571,2025-09-29 22:25:57.571,20.32,30.0,1.0,0.08,0.05,100,100,15.46,7.47,100.0,-0.33,0.232,0.011
1759155962571,2025-09-29 22:26:02.571,23.71,30.0,1.0,0.08,0.05,100,100,17.71,9.68,100.0,0.44,0.266,-0.034
1759155967571,2025-09-29 22:26:07.571,24.17,30.0,1.0,0.08,0.05,100,100,14.26,6.29,100.0,-0.68,0.214,0.034
1759155972571,2025-09-29 22:26:12.571,24.69,30.0,1.0,0.08,0.05,100,100,13.83,5.83,100.0,-0.09,0.207,0.043
1759155977571,2025-09-29 22:26:17.571,23.41,30.0,1.0,0.08,0.05,100,100,13.31,5.31,100.0,-0.1,0.2,0.054
1759155982571,2025-09-29 22:26:22.571,22.62,30.0,1.0,0.08,0.05,100,100,14.6,6.59,100.0,0.26,0.219,0.028
1759155987571,2025-09-29 22:26:27.571,25.17,30.0,1.0,0.08,0.05,100,100,15.39,7.38,100.0,0.16,0.231,0.012
1759155992571,2025-09-29 22:26:32.571,24.83,30.0,1.0,0.08,0.05,100,100,12.8,4.83,100.0,-0.51,0.192,0.063
1759155997571,2025-09-29 22:26:37.571,25.79,30.0,1.0,0.08,0.05,100,100,13.18,5.17,100.0,0.07,0.198,0.057
1759156002571,2025-09-29 22:26:42.571,23.48,30.0,1.0,0.08,0.05,100,100,12.2,4.21,100.0,-0.19,0.183,0.076
1759156007571,2025-09-29 22:26:47.571,21.31,30.0,1.0,0.08,0.05,100,100,14.55,6.52,100.0,0.46,0.218,0.03
1759156012571,2025-09-29 22:26:52.571,17.81,30.0,1.0,0.08,0.05,100,100,16.71,8.69,100.0,0.43,0.251,-0.014
1759156017571,2025-09-29 22:26:57.571,17.67,30.0,1.0,0.08,0.05,100,100,20.22,12.19,100.0,0.7,0.303,-0.084
1759156022571,2025-09-29 22:27:02.571,18.56,30.0,1.0,0.08,0.05,100,100,20.34,12.33,100.0,0.03,0.305,-0.087
1759156027571,2025-09-29 22:27:07.571,17.62,30.0,1.0,0.08,0.05,100,100,19.43,11.44,100.0,-0.18,0.291,-0.069
1759156032571,2025-09-29 22:27:12.571,18.47,30.0,1.0,0.08,0.05,100,100,20.39,12.38,100.0,0.19,0.306,-0.088
1759156037571,2025-09-29 22:27:17.571,18.96,30.0,1.0,0.08,0.05,100,100,19.52,11.53,100.0,-0.17,0.293,-0.071
1759156042571,2025-09-29 22:27:22.571,18.99,30.0,1.0,0.08,0.05,100,100,19.04,11.04,100.0,-0.1,0.286,-0.061
1759156047571,2025-09-29 22:27:27.571,20.15,30.0,1.0,0.08,0.05,100,100,19.01,11.01,100.0,-0.01,0.285,-0.06
1759156052571,2025-09-29 22:27:32.571,17.63,30.0,1.0,0.08,0.05,100,100,17.84,9.85,100.0,-0.23,0.268,-0.037
1759156057571,2025-09-29 22:27:37.571,17.01,30.0,1.0,0.08,0.05,100,100,20.39,12.37,100.0,0.5,0.306,-0.087
1759156062571,2025-09-29 22:27:42.571,16.82,30.0,1.0,0.08,0.05,100,100,21.0,12.99,100.0,0.13,0.315,-0.1
1759156067571,2025-09-29 22:27:47.571,17.49,30.0,1.0,0.08,0.05,100,100,21.18,13.18,100.0,0.04,0.318,-0.104
1759156072571,2025-09-29 22:27:52.571,19.89,30.0,1.0,0.08,0.05,100,100,20.5,12.51,100.0,-0.13,0.308,-0.09
1759156077571,2025-09-29 22:27:57.571,22.62,30.0,1.0,0.08,0.05,100,100,18.09,10.11,100.0,-0.48,0.271,-0.042
1759156082571,2025-09-29 22:28:02.571,20.91,30.0,1.0,0.08,0.05,100,100,15.35,7.38,100.0,-0.55,0.23,0.012
1759156087571,2025-09-29 22:28:07.571,22.12,30.0,1.0,0.08,0.05,100,100,17.1,9.09,100.0,0.34,0.257,-0.022
1759156092571,2025-09-29 22:28:12.571,22.66,30.0,1.0,0.08,0.05,100,100,15.87,7.88,100.0,-0.24,0.238,0.002
1759156097571,2025-09-29 22:28:17.571,20.94,30.0,1.0,0.08,0.05,100,100,15.34,7.34,100.0,-0.11,0.23,0.013
1759156102571,2025-09-29 22:28:22.571,20.6,30.0,1.0,0.08,0.05,100,100,17.08,9.06,100.0,0.34,0.256,-0.021
1759156107571,2025-09-29 22:28:27.571,20.68,30.0,1.0,0.08,0.05,100,100,17.41,9.4,100.0,0.07,0.261,-0.028
1759156112571,2025-09-29 22:28:32.571,19.32,30.0,1.0,0.08,0.05,100,100,17.31,9.32,100.0,-0.02,0.26,-0.026
1759156117571,2025-09-29 22:28:37.571,20.94,30.0,1.0,0.08,0.05,100,100,18.69,10.68,100.0,0.27,0.28,-0.054
1759156122571,2025-09-29 22:28:42.571,22.15,30.0,1.0,0.08,0.05,100,100,17.05,9.06,100.0,-0.32,0.256,-0.021
1759156127571,2025-09-29 22:28:47.571,23.41,30.0,1.0,0.08,0.05,100,100,15.84,7.85,100.0,-0.24,0.238,0.003
1759156132571,2025-09-29 22:28:52.571,22.35,30.0,1.0,0.08,0.05,100,100,14.58,6.59,100.0,-0.25,0.219,0.028
1759156137571,2025-09-29 22:28:57.571,21.68,30.0,1.0,0.08,0.05,100,100,15.66,7.65,100.0,0.21,0.235,0.007
1759156142571,2025-09-29 22:29:02.571,22.74,30.0,1.0,0.08,0.05,100,100,16.32,8.32,100.0,0.13,0.245,-0.006
1759156147571,2025-09-29 22:29:07.571,24.49,30.0,1.0,0.08,0.05,100,100,15.25,7.26,100.0,-0.21,0.229,0.015
1759156152571,2025-09-29 22:29:12.571,23.23,30.0,1.0,0.08,0.05,100,100,13.5,5.51,100.0,-0.35,0.202,0.05
1759156157571,2025-09-29 22:29:17.571,23.19,30.0,1.0,0.08,0.05,100,100,14.78,6.77,100.0,0.25,0.222,0.025
1759156162571,2025-09-29 22:29:22.571,21.71,30.0,1.0,0.08,0.05,100,100,14.81,6.81,100.0,0.01,0.222,0.024
1759156167571,2025-09-29 22:29:27.571,23.1,30.0,1.0,0.08,0.05,100,100,16.31,8.29,100.0,0.3,0.245,-0.006
1759156172571,2025-09-29 22:29:32.571,25.29,30.0,1.0,0.08,0.05,100,100,14.88,6.9,100.0,-0.28,0.223,0.022
1759156177571,2025-09-29 22:29:37.571,22.57,30.0,1.0,0.08,0.05,100,100,12.69,4.71,100.0,-0.44,0.19,0.066
1759156182571,2025-09-29 22:29:42.571,21.39,30.0,1.0,0.08,0.05,100,100,15.46,7.43,100.0,0.54,0.232,0.011
1759156187571,2025-09-29 22:29:47.571,22.99,30.0,1.0,0.08,0.05,100,100,16.63,8.61,100.0,0.24,0.249,-0.012
1759156192571,2025-09-29 22:29:52.571,19.76,30.0,1.0,0.08,0.05,100,100,15.0,7.01,100.0,-0.32,0.225,0.02
1759156197571,2025-09-29 22:29:57.571,19.32,30.0,1.0,0.08,0.05,100,100,18.28,10.24,100.0,0.65,0.274,-0.045
1759156202571,2025-09-29 22:30:02.571,19.33,30.0,1.0,0.08,0.05,100,100,18.69,10.68,100.0,0.09,0.28,-0.054
1759156207571,2025-09-29 22:30:07.571,20.2,30.0,1.0,0.08,0.05,100,100,18.67,10.67,100.0,-0.0,0.28,-0.053
1759156212571,2025-09-29 22:30:12.571,20.77,30.0,1.0,0.08,0.05,100,100,17.79,9.8,100.0,-0.17,0.267,-0.036
1759156217571,2025-09-29 22:30:17.571,20.62,30.0,1.0,0.08,0.05,100,100,17.22,9.23,100.0,-0.11,0.258,-0.025
1759156222571,2025-09-29 22:30:22.571,22.13,30.0,1.0,0.08,0.05,100,100,17.38,9.38,100.0,0.03,0.261,-0.028
1759156227571,2025-09-29 22:30:27.571,22.34,30.0,1.0,0.08,0.05,100,100,15.85,7.87,100.0,-0.3,0.238,0.003
1759156232571,2025-09-29 22:30:32.571,21.68,30.0,1.0,0.08,0.05,100,100,15.66,7.66,100.0,-0.04,0.235,0.007
1759156237571,2025-09-29 22:30:37.571,22.14,30.0,1.0,0.08,0.05,100,100,16.33,8.32,100.0,0.13,0.245,-0.006
1759156242571,2025-09-29 22:30:42.571,21.1,30.0,1.0,0.08,0.05,100,100,15.85,7.86,100.0,-0.09,0.238,0.003
1759156247571,2025-09-29 22:30:47.571,23.11,30.0,1.0,0.08,0.05,100,100,16.91,8.9,100.0,0.21,0.254,-0.018
1759156252571,2025-09-29 22:30:52.571,23.13,25.0,1.0,0.08,0.05,100,100,14.87,6.89,100.0,-0.4,0.223,0.022
1759156257571,2025-09-29 22:30:57.571,23.96,25.0,1.0,0.08,0.05,100,100,9.82,1.87,100.0,-1.0,0.147,0.023
1759156262571,2025-09-29 22:31:02.571,22.94,25.0,1.0,0.08,0.05,100,100,9.03,1.04,100.0,-0.17,0.135,0.039
1759156267571,2025-09-29 22:31:07.571,22.12,25.0,1.0,0.08,0.05,100,100,10.07,2.06,100.0,0.2,0.151,0.019
1759156272571,2025-09-29 22:31:12.571,20.38,25.0,1.0,0.08,0.05,100,100,10.89,2.88,100.0,0.17,0.163,0.002
1759156277571,2025-09-29 22:31:17.571,22.01,25.0,1.0,0.08,0.05,100,100,12.64,4.62,100.0,0.35,0.19,-0.032
1759156282571,2025-09-29 22:31:22.571,23.5,25.0,1.0,0.08,0.05,100,100,10.97,2.99,100.0,-0.33,0.165,0.0
1759156287571,2025-09-29 22:31:27.571,20.35,25.0,1.0,0.08,0.05,100,100,9.49,1.5,100.0,-0.3,0.142,0.03
1759156292571,2025-09-29 22:31:32.571,18.17,25.0,1.0,0.08,0.05,100,100,12.68,4.65,100.0,0.63,0.19,-0.033
1759156297571,2025-09-29 22:31:37.571,17.27,30.0,1.0,0.08,0.05,100,100,14.85,6.83,100.0,0.43,0.223,-0.077
1759156302571,2025-09-29 22:31:42.571,18.85,30.0,1.0,0.08,0.05,100,100,20.79,12.73,100.0,1.18,0.312,-0.095
1759156307571,2025-09-29 22:31:47.571,19.94,30.0,1.0,0.08,0.05,100,100,19.14,11.15,100.0,-0.32,0.287,-0.063
1759156312571,2025-09-29 22:31:52.571,19.01,30.0,1.0,0.08,0.05,100,100,18.05,10.06,100.0,-0.22,0.271,-0.041
1759156317571,2025-09-29 22:31:57.571,18.33,30.0,1.0,0.08,0.05,100,100,19.0,10.99,100.0,0.19,0.285,-0.06
1759156322571,2025-09-29 22:32:02.571,16.99,30.0,1.0,0.08,0.05,100,100,19.68,11.67,100.0,0.14,0.295,-0.073
1759156327571,2025-09-29 22:32:07.571,16.04,30.0,1.0,0.08,0.05,100,100,21.02,13.01,100.0,0.27,0.315,-0.1
1759156332571,2025-09-29 22:32:12.571,15.89,30.0,1.0,0.08,0.05,100,100,21.97,13.96,100.0,0.19,0.33,-0.119
1759156337571,2025-09-29 22:32:17.571,16.55,30.0,1.0,0.08,0.05,100,100,22.11,14.11,100.0,0.03,0.332,-0.122
1759156342571,2025-09-29 22:32:22.571,15.61,30.0,1.0,0.08,0.05,100,100,21.44,13.45,100.0,-0.13,0.322,-0.109
1759156347571,2025-09-29 22:32:27.571,17.51,30.0,1.0,0.08,0.05,100,100,22.4,14.39,100.0,0.19,0.336,-0.128
1759156352571,2025-09-29 22:32:32.571,17.17,30.0,1.0,0.08,0.05,100,100,20.47,12.49,100.0,-0.38,0.307,-0.09
1759156357571,2025-09-29 22:32:37.571,15.87,30.0,1.0,0.08,0.05,100,100,20.83,12.83,100.0,0.07,0.312,-0.097
1759156362571,2025-09-29 22:32:42.571,16.59,30.0,1.0,0.08,0.05,100,100,22.14,14.13,100.0,0.26,0.332,-0.123
1759156367571,2025-09-29 22:32:47.571,19.6,30.0,1.0,0.08,0.05,100,100,21.41,13.41,100.0,-0.14,0.321,-0.108
1759156372571,2025-09-29 22:32:52.571,18.17,30.0,1.0,0.08,0.05,100,100,18.37,10.4,100.0,-0.6,0.276,-0.048
1759156377571,2025-09-29 22:32:57.571,17.59,30.0,1.0,0.08,0.05,100,100,19.84,11.83,100.0,0.28,0.298,-0.077
1759156382571,2025-09-29 22:33:02.571,17.2,30.0,1.0,0.08,0.05,100,100,20.41,12.41,100.0,0.12,0.306,-0.088
1759156387571,2025-09-29 22:33:07.571,18.59,30.0,1.0,0.08,0.05,100,100,20.81,12.8,100.0,0.08,0.312,-0.096
1759156392571,2025-09-29 22:33:12.571,20.97,30.0,1.0,0.08,0.05,100,100,19.4,11.41,100.0,-0.28,0.291,-0.068
1759156397571,2025-09-29 22:33:17.571,20.97,30.0,1.0,0.08,0.05,100,100,17.01,9.03,100.0,-0.48,0.255,-0.021
1759156402571,2025-09-29 22:33:22.571,21.85,30.0,1.0,0.08,0.05,100,100,17.03,9.03,100.0,-0.0,0.255,-0.021
1759156407571,2025-09-29 22:33:27.571,23.61,30.0,1.0,0.08,0.05,100,100,16.14,8.15,100.0,-0.18,0.242,-0.003
1759156412571,2025-09-29 22:33:32.571,21.97,30.0,1.0,0.08,0.05,100,100,14.38,6.39,100.0,-0.35,0.216,0.032
1759156417571,2025-09-29 22:33:37.571,20.55,30.0,1.0,0.08,0.05,100,100,16.05,8.03,100.0,0.33,0.241,-0.001
1759156422571,2025-09-29 22:33:42.571,20.07,30.0,1.0,0.08,0.05,100,100,17.47,9.45,100.0,0.28,0.262,-0.029
1759156427571,2025-09-29 22:33:47.571,20.09,30.0,1.0,0.08,0.05,100,100,17.93,9.93,100.0,0.1,0.269,-0.039
1759156432571,2025-09-29 22:33:52.571,20.83,30.0,1.0,0.08,0.05,100,100,17.91,9.91,100.0,-0.0,0.269,-0.038
1759156437571,2025-09-29 22:33:57.571,22.77,30.0,1.0,0.08,0.05,100,100,17.16,9.17,100.0,-0.15,0.257,-0.023
1759156442571,2025-09-29 22:34:02.571,23.2,30.0,1.0,0.08,0.05,100,100,15.21,7.23,100.0,-0.39,0.228,0.015
1759156447571,2025-09-29 22:34:07.571,24.28,30.0,1.0,0.08,0.05,100,100,14.79,6.8,100.0,-0.09,0.222,0.024
1759156452571,2025-09-29 22:34:12.571,23.53,30.0,1.0,0.08,0.05,100,100,13.71,5.72,100.0,-0.21,0.206,0.046
1759156457571,2025-09-29 22:34:17.571,24.47,30.0,1.0,0.08,0.05,100,100,14.48,6.47,100.0,0.15,0.217,0.031
1759156462571,2025-09-29 22:34:22.571,25.77,30.0,1.0,0.08,0.05,100,100,13.52,5.53,100.0,-0.19,0.203,0.049
1759156467571,2025-09-29 22:34:27.571,25.46,30.0,1.0,0.08,0.05,100,100,12.22,4.23,100.0,-0.26,0.183,0.075
1759156472571,2025-09-29 22:34:32.571,24.35,30.0,1.0,0.08,0.05,100,100,12.54,4.54,100.0,0.06,0.188,0.069
1759156477571,2025-09-29 22:34:37.571,26.29,30.0,1.0,0.08,0.05,100,100,13.66,5.65,100.0,0.22,0.205,0.047
1759156482571,2025-09-29 22:34:42.571,26.87,30.0,1.0,0.08,0.05,100,100,11.69,3.71,100.0,-0.39,0.175,0.086
1759156487571,2025-09-29 22:34:47.571,29.46,30.0,1.0,0.08,0.05,100,100,11.12,3.13,100.0,-0.12,0.167,0.097
1759156492571,2025-09-29 22:34:52.571,27.46,30.0,1.0,0.08,0.05,100,100,8.52,0.54,100.0,-0.52,0.128,0.149
1759156497571,2025-09-29 22:34:57.571,26.44,30.0,1.0,0.08,0.05,100,100,10.56,2.54,100.0,0.4,0.158,0.109
1759156502571,2025-09-29 22:35:02.571,24.81,30.0,1.0,0.08,0.05,100,100,11.57,3.56,100.0,0.2,0.174,0.089
1759156507571,2025-09-29 22:35:07.571,26.55,30.0,1.0,0.08,0.05,100,100,13.21,5.19,100.0,0.33,0.198,0.056
1759156512571,2025-09-29 22:35:12.571,25.54,30.0,1.0,0.08,0.05,100,100,11.44,3.45,100.0,-0.35,0.172,0.091
1759156517571,2025-09-29 22:35:17.571,24.56,30.0,1.0,0.08,0.05,100,100,12.47,4.46,100.0,0.2,0.187,0.071
1759156522571,2025-09-29 22:35:22.571,25.44,30.0,1.0,0.08,0.05,100,100,13.45,5.44,100.0,0.2,0.202,0.051
1759156527571,2025-09-29 22:35:27.571,23.15,30.0,1.0,0.08,0.05,100,100,12.55,4.56,100.0,-0.18,0.188,0.069
1759156532571,2025-09-29 22:35:32.571,21.71,30.0,1.0,0.08,0.05,100,100,14.88,6.85,100.0,0.46,0.223,0.023
1759156537571,2025-09-29 22:35:37.571,22.63,30.0,1.0,0.08,0.05,100,100,16.31,8.29,100.0,0.29,0.245,-0.006
1759156542571,2025-09-29 22:35:42.571,23.1,30.0,1.0,0.08,0.05,100,100,15.36,7.37,100.0,-0.18,0.23,0.013
1759156547571,2025-09-29 22:35:47.571,20.75,30.0,1.0,0.08,0.05,100,100,14.9,6.9,100.0,-0.09,0.223,0.022
1759156552571,2025-09-29 22:35:52.571,23.2,30.0,1.0,0.08,0.05,100,100,17.27,9.25,100.0,0.47,0.259,-0.025
1759156557571,2025-09-29 22:35:57.571,22.07,30.0,1.0,0.08,0.05,100,100,14.77,6.8,100.0,-0.49,0.222,0.024
1759156562571,2025-09-29 22:36:02.571,19.36,30.0,1.0,0.08,0.05,100,100,15.94,7.93,100.0,0.23,0.239,0.001
1759156567571,2025-09-29 22:36:07.571,17.75,30.0,1.0,0.08,0.05,100,100,18.66,10.64,100.0,0.54,0.28,-0.053
1759156572571,2025-09-29 22:36:12.571,16.38,30.0,1.0,0.08,0.05,100,100,20.26,12.25,100.0,0.32,0.304,-0.085
1759156577571,2025-09-29 22:36:17.571,15.75,30.0,1.0,0.08,0.05,100,100,21.63,13.62,100.0,0.27,0.324,-0.112
1759156582571,2025-09-29 22:36:22.571,13.64,30.0,1.0,0.08,0.05,100,100,22.25,14.25,100.0,0.13,0.334,-0.125
1759156587571,2025-09-29 22:36:27.571,12.0,30.0,1.0,0.08,0.05,100,100,24.38,16.36,100.0,0.42,0.366,-0.167
1759156592571,2025-09-29 22:36:32.571,12.56,30.0,1.0,0.08,0.05,100,100,26.02,18.0,100.0,0.33,0.39,-0.2
1759156597571,2025-09-29 22:36:37.571,11.09,30.0,1.0,0.08,0.05,100,100,25.43,17.44,100.0,-0.11,0.381,-0.189
1759156602571,2025-09-29 22:36:42.571,9.21,30.0,1.0,0.08,0.05,100,100,26.92,18.91,100.0,0.29,0.404,-0.218
1759156607571,2025-09-29 22:36:47.571,8.92,30.0,1.0,0.08,0.05,100,100,28.81,20.79,100.0,0.38,0.432,-0.256
1759156612571,2025-09-29 22:36:52.571,8.85,30.0,1.0,0.08,0.05,100,100,29.09,21.08,100.0,0.06,0.436,-0.262
1759156617571,2025-09-29 22:36:57.571,8.54,30.0,1.0,0.08,0.05,100,100,29.15,21.15,100.0,0.01,0.437,-0.263
1759156622571,2025-09-29 22:37:02.571,8.28,30.0,1.0,0.08,0.05,100,100,29.47,21.46,100.0,0.06,0.442,-0.269
1759156627571,2025-09-29 22:37:07.571,8.82,30.0,1.0,0.08,0.05,100,100,29.72,21.72,100.0,0.05,0.446,-0.274
1759156632571,2025-09-29 22:37:12.571,9.26,30.0,1.0,0.08,0.05,100,100,29.17,21.18,100.0,-0.11,0.438,-0.264
1759156637571,2025-09-29 22:37:17.571,9.52,30.0,1.0,0.08,0.05,100,100,28.73,20.74,100.0,-0.09,0.431,-0.255
1759156642571,2025-09-29 22:37:22.571,6.57,30.0,1.0,0.08,0.05,100,100,28.48,20.48,100.0,-0.05,0.427,-0.25
1759156647571,2025-09-29 22:37:27.571,5.68,30.0,1.0,0.08,0.05,100,100,31.46,23.43,100.0,0.59,0.472,-0.309
1759156652571,2025-09-29 22:37:32.571,6.0,30.0,1.0,0.08,0.05,100,100,32.33,24.32,100.0,0.18,0.485,-0.326
1759156657571,2025-09-29 22:37:37.571,5.67,30.0,1.0,0.08,0.05,100,100,32.0,24.0,100.0,-0.06,0.48,-0.32
1759156662571,2025-09-29 22:37:42.571,6.93,30.0,1.0,0.08,0.05,100,100,32.33,24.33,100.0,0.06,0.485,-0.327
1759156667571,2025-09-29 22:37:47.571,7.81,30.0,1.0,0.08,0.05,100,100,31.06,23.07,100.0,-0.25,0.466,-0.301
1759156672571,2025-09-29 22:37:52.571,8.03,30.0,1.0,0.08,0.05,100,100,30.18,22.19,100.0,-0.18,0.453,-0.284
1759156677571,2025-09-29 22:37:57.571,5.94,30.0,1.0,0.08,0.05,100,100,29.97,21.97,100.0,-0.04,0.45,-0.279
1759156682571,2025-09-29 22:38:02.571,7.8,30.0,1.0,0.08,0.05,100,100,32.09,24.06,100.0,0.42,0.481,-0.321
1759156687571,2025-09-29 22:38:07.571,10.41,30.0,1.0,0.08,0.05,100,100,30.18,22.2,100.0,-0.37,0.453,-0.284
1759156692571,2025-09-29 22:38:12.571,11.98,30.0,1.0,0.08,0.05,100,100,27.56,19.59,100.0,-0.52,0.413,-0.232
1759156697571,2025-09-29 22:38:17.571,11.31,30.0,1.0,0.08,0.05,100,100,26.0,18.02,100.0,-0.31,0.39,-0.2
1759156702571,2025-09-29 22:38:22.571,10.46,30.0,1.0,0.08,0.05,100,100,26.7,18.69,100.0,0.14,0.4,-0.214
1759156707571,2025-09-29 22:38:27.571,10.25,30.0,1.0,0.08,0.05,100,100,27.55,19.54,100.0,0.17,0.413,-0.231
1759156712571,2025-09-29 22:38:32.571,10.76,30.0,1.0,0.08,0.05,100,100,27.75,19.75,100.0,0.04,0.416,-0.235
1759156717571,2025-09-29 22:38:37.571,8.9,30.0,1.0,0.08,0.05,100,100,27.24,19.24,100.0,-0.1,0.409,-0.225
1759156722571,2025-09-29 22:38:42.571,7.86,30.0,1.0,0.08,0.05,100,100,29.12,21.1,100.0,0.37,0.437,-0.262
1759156727571,2025-09-29 22:38:47.571,8.64,30.0,1.0,0.08,0.05,100,100,30.15,22.14,100.0,0.21,0.452,-0.283
1759156732571,2025-09-29 22:38:52.571,9.48,30.0,1.0,0.08,0.05,100,100,29.36,21.36,100.0,-0.15,0.44,-0.267
1759156737571,2025-09-29 22:38:57.571,10.18,30.0,1.0,0.08,0.05,100,100,28.52,20.52,100.0,-0.17,0.428,-0.25
1759156742571,2025-09-29 22:39:02.571,12.52,30.0,1.0,0.08,0.05,100,100,27.81,19.82,100.0,-0.14,0.417,-0.236
